Source,Target,Regulation
hsa-mir-107,ADD2,miRNA-Genes
hsa-mir-107,ADORA3,miRNA-Genes
hsa-mir-107,CAV1,miRNA-Genes
hsa-mir-107,RUNX1T1,miRNA-Genes
hsa-mir-107,CCNE1,miRNA-Genes
hsa-mir-107,CDK1,miRNA-Genes
hsa-mir-107,RCC1,miRNA-Genes
hsa-mir-107,CHGA,miRNA-Genes
hsa-mir-107,VCAN,miRNA-Genes
hsa-mir-107,CYP2C8,miRNA-Genes
hsa-mir-107,DMPK,miRNA-Genes
hsa-mir-107,EN2,miRNA-Genes
hsa-mir-107,FGF2,miRNA-Genes
hsa-mir-107,FOXC1,miRNA-Genes
hsa-mir-107,GABRB1,miRNA-Genes
hsa-mir-107,GNAT1,miRNA-Genes
hsa-mir-107,IGSF3,miRNA-Genes
hsa-mir-107,ITGA2,miRNA-Genes
hsa-mir-107,CD180,miRNA-Genes
hsa-mir-107,TM4SF1,miRNA-Genes
hsa-mir-107,MCM7,miRNA-Genes
hsa-mir-107,MT1E,miRNA-Genes
hsa-mir-107,OPRM1,miRNA-Genes
hsa-mir-107,PCSK5,miRNA-Genes
hsa-mir-107,ENPP2,miRNA-Genes
hsa-mir-107,PER1,miRNA-Genes
hsa-mir-107,PHKA1,miRNA-Genes
hsa-mir-107,SERPINB5,miRNA-Genes
hsa-mir-107,NPY4R,miRNA-Genes
hsa-mir-107,RS1,miRNA-Genes
hsa-mir-107,SALL1,miRNA-Genes
hsa-mir-107,SH3GL2,miRNA-Genes
hsa-mir-107,SNCG,miRNA-Genes
hsa-mir-107,TGFBR3,miRNA-Genes
hsa-mir-107,VEGFA,miRNA-Genes
hsa-mir-107,HMGA2,miRNA-Genes
hsa-mir-107,AXIN2,miRNA-Genes
hsa-mir-107,KLF4,miRNA-Genes
hsa-mir-107,GLP2R,miRNA-Genes
hsa-mir-107,KIF23,miRNA-Genes
hsa-mir-107,RIMS3,miRNA-Genes
hsa-mir-107,JOSD1,miRNA-Genes
hsa-mir-107,DUSP14,miRNA-Genes
hsa-mir-107,CPEB3,miRNA-Genes
hsa-mir-107,PPP1R16B,miRNA-Genes
hsa-mir-107,PHGDH,miRNA-Genes
hsa-mir-107,RACGAP1,miRNA-Genes
hsa-mir-107,HCFC2,miRNA-Genes
hsa-mir-107,MRPL2,miRNA-Genes
hsa-mir-107,PPIL1,miRNA-Genes
hsa-mir-107,FGFRL1,miRNA-Genes
hsa-mir-107,CNNM2,miRNA-Genes
hsa-mir-107,CDCA4,miRNA-Genes
hsa-mir-107,DEPDC1B,miRNA-Genes
hsa-mir-107,PAG1,miRNA-Genes
hsa-mir-107,GNG12,miRNA-Genes
hsa-mir-107,GPCPD1,miRNA-Genes
hsa-mir-107,CYSLTR2,miRNA-Genes
hsa-mir-107,SALL4,miRNA-Genes
hsa-mir-107,SEMA6A,miRNA-Genes
hsa-mir-107,CPEB1,miRNA-Genes
hsa-mir-107,LIN28A,miRNA-Genes
hsa-mir-107,GSG1,miRNA-Genes
hsa-mir-107,BTLA,miRNA-Genes
hsa-mir-107,CCDC83,miRNA-Genes
hsa-mir-107,GOLGA8B,miRNA-Genes
hsa-mir-107,CKMT1A,miRNA-Genes
hsa-mir-217,CA6,miRNA-Genes
hsa-mir-217,DACH1,miRNA-Genes
hsa-mir-217,ELF5,miRNA-Genes
hsa-mir-217,EZH2,miRNA-Genes
hsa-mir-217,GPC5,miRNA-Genes
hsa-mir-217,MXD1,miRNA-Genes
hsa-mir-217,SMAD7,miRNA-Genes
hsa-mir-217,MAP1B,miRNA-Genes
hsa-mir-217,SFTPB,miRNA-Genes
hsa-mir-217,TMEM63A,miRNA-Genes
hsa-mir-217,HSPA4L,miRNA-Genes
hsa-mir-217,OSBPL3,miRNA-Genes
hsa-mir-217,ZBTB20,miRNA-Genes
hsa-mir-217,NCAPG2,miRNA-Genes
hsa-mir-217,BACH2,miRNA-Genes
hsa-mir-217,TAF1D,miRNA-Genes
hsa-mir-217,TMEM67,miRNA-Genes
hsa-mir-217,UBXN11,miRNA-Genes
hsa-mir-217,TP53INP1,miRNA-Genes
hsa-mir-375,AXL,miRNA-Genes
hsa-mir-375,BCL2,miRNA-Genes
hsa-mir-375,CDKN2B,miRNA-Genes
hsa-mir-375,CENPF,miRNA-Genes
hsa-mir-375,CFL2,miRNA-Genes
hsa-mir-375,CHGB,miRNA-Genes
hsa-mir-375,COL12A1,miRNA-Genes
hsa-mir-375,CRABP2,miRNA-Genes
hsa-mir-375,DNMT3B,miRNA-Genes
hsa-mir-375,ELAVL4,miRNA-Genes
hsa-mir-375,EMP1,miRNA-Genes
hsa-mir-375,FKBP1B,miRNA-Genes
hsa-mir-375,FOLR1,miRNA-Genes
hsa-mir-375,IFI6,miRNA-Genes
hsa-mir-375,HK2,miRNA-Genes
hsa-mir-375,IL1RAP,miRNA-Genes
hsa-mir-375,KCNN4,miRNA-Genes
hsa-mir-375,LDHB,miRNA-Genes
hsa-mir-375,MYC,miRNA-Genes
hsa-mir-375,MYCN,miRNA-Genes
hsa-mir-375,NCAM1,miRNA-Genes
hsa-mir-375,NPPB,miRNA-Genes
hsa-mir-375,OTX1,miRNA-Genes
hsa-mir-375,PAFAH2,miRNA-Genes
hsa-mir-375,MAPK3,miRNA-Genes
hsa-mir-375,KLK10,miRNA-Genes
hsa-mir-375,SLC6A6,miRNA-Genes
hsa-mir-375,SLC7A1,miRNA-Genes
hsa-mir-375,SOX2,miRNA-Genes
hsa-mir-375,TNNI3,miRNA-Genes
hsa-mir-375,TNS1,miRNA-Genes
hsa-mir-375,UCHL3,miRNA-Genes
hsa-mir-375,SLC7A6,miRNA-Genes
hsa-mir-375,CLDN1,miRNA-Genes
hsa-mir-375,EXO1,miRNA-Genes
hsa-mir-375,NOLC1,miRNA-Genes
hsa-mir-375,CRLF1,miRNA-Genes
hsa-mir-375,KLF4,miRNA-Genes
hsa-mir-375,AKAP7,miRNA-Genes
hsa-mir-375,LITAF,miRNA-Genes
hsa-mir-375,KIAA0513,miRNA-Genes
hsa-mir-375,RIMS3,miRNA-Genes
hsa-mir-375,NUP58,miRNA-Genes
hsa-mir-375,BCL2L11,miRNA-Genes
hsa-mir-375,FSTL3,miRNA-Genes
hsa-mir-375,HOXB13,miRNA-Genes
hsa-mir-375,PROCR,miRNA-Genes
hsa-mir-375,CBX3,miRNA-Genes
hsa-mir-375,PHLDA1,miRNA-Genes
hsa-mir-375,DIP2C,miRNA-Genes
hsa-mir-375,RPGRIP1L,miRNA-Genes
hsa-mir-375,GTPBP4,miRNA-Genes
hsa-mir-375,ARL2BP,miRNA-Genes
hsa-mir-375,CKAP2,miRNA-Genes
hsa-mir-375,DNAJC2,miRNA-Genes
hsa-mir-375,ANKRD1,miRNA-Genes
hsa-mir-375,NELFCD,miRNA-Genes
hsa-mir-375,SCLY,miRNA-Genes
hsa-mir-375,NLE1,miRNA-Genes
hsa-mir-375,NCAPG2,miRNA-Genes
hsa-mir-375,APPL2,miRNA-Genes
hsa-mir-375,NAT10,miRNA-Genes
hsa-mir-375,TMEM74B,miRNA-Genes
hsa-mir-375,STAP2,miRNA-Genes
hsa-mir-375,PBXIP1,miRNA-Genes
hsa-mir-375,CIP2A,miRNA-Genes
hsa-mir-375,ENOPH1,miRNA-Genes
hsa-mir-375,CHPF,miRNA-Genes
hsa-mir-375,ZDHHC11,miRNA-Genes
hsa-mir-375,LPCAT1,miRNA-Genes
hsa-mir-375,GPR157,miRNA-Genes
hsa-mir-375,SYT15,miRNA-Genes
hsa-mir-375,EBPL,miRNA-Genes
hsa-mir-375,TMEM25,miRNA-Genes
hsa-mir-375,PAQR8,miRNA-Genes
hsa-mir-375,DISP2,miRNA-Genes
hsa-mir-375,STPG1,miRNA-Genes
hsa-mir-375,PTPMT1,miRNA-Genes
hsa-mir-375,COX20,miRNA-Genes
hsa-mir-375,GRPEL2,miRNA-Genes
hsa-mir-375,ADAT2,miRNA-Genes
hsa-mir-375,GSC,miRNA-Genes
hsa-mir-375,ZNF540,miRNA-Genes
hsa-mir-375,KLHDC8B,miRNA-Genes
hsa-mir-375,AQP11,miRNA-Genes
hsa-mir-375,CCDC88B,miRNA-Genes
hsa-mir-375,TMEM145,miRNA-Genes
hsa-mir-375,SLC25A42,miRNA-Genes
hsa-mir-375,DOK7,miRNA-Genes
hsa-mir-375,FAM89A,miRNA-Genes
hsa-mir-326,AR,miRNA-Genes
hsa-mir-326,CCND1,miRNA-Genes
hsa-mir-326,BMP7,miRNA-Genes
hsa-mir-326,CLU,miRNA-Genes
hsa-mir-326,EPHB3,miRNA-Genes
hsa-mir-326,FASN,miRNA-Genes
hsa-mir-326,KLK2,miRNA-Genes
hsa-mir-326,KPNA2,miRNA-Genes
hsa-mir-326,PDE3A,miRNA-Genes
hsa-mir-326,PDE1B,miRNA-Genes
hsa-mir-326,FSCN1,miRNA-Genes
hsa-mir-326,HMGA2,miRNA-Genes
hsa-mir-326,MTHFD2,miRNA-Genes
hsa-mir-326,BVES,miRNA-Genes
hsa-mir-326,MYH15,miRNA-Genes
hsa-mir-326,SSBP2,miRNA-Genes
hsa-mir-326,CNNM4,miRNA-Genes
hsa-mir-326,NOB1,miRNA-Genes
hsa-mir-326,RBM47,miRNA-Genes
hsa-mir-326,SLC47A1,miRNA-Genes
hsa-mir-326,NKRF,miRNA-Genes
hsa-mir-326,ULBP3,miRNA-Genes
hsa-mir-326,PAQR8,miRNA-Genes
hsa-mir-326,SEZ6,miRNA-Genes
hsa-mir-326,RPTN,miRNA-Genes
hsa-mir-326,FBXL16,miRNA-Genes
hsa-mir-326,METTL27,miRNA-Genes
hsa-mir-326,RBM20,miRNA-Genes
hsa-mir-326,STUM,miRNA-Genes
hsa-mir-326,ZNF772,miRNA-Genes
hsa-mir-326,TOMM5,miRNA-Genes
hsa-mir-346,BTK,miRNA-Genes
hsa-mir-346,CACNA1A,miRNA-Genes
hsa-mir-346,CD247,miRNA-Genes
hsa-mir-346,CKB,miRNA-Genes
hsa-mir-346,CNN2,miRNA-Genes
hsa-mir-346,FOXF2,miRNA-Genes
hsa-mir-346,LIF,miRNA-Genes
hsa-mir-346,PTGS1,miRNA-Genes
hsa-mir-346,TERT,miRNA-Genes
hsa-mir-346,HRK,miRNA-Genes
hsa-mir-346,RAD51AP1,miRNA-Genes
hsa-mir-346,FAM107A,miRNA-Genes
hsa-mir-346,RAD54B,miRNA-Genes
hsa-mir-346,PLEKHG4,miRNA-Genes
hsa-mir-346,INPP5J,miRNA-Genes
hsa-mir-346,SLC39A1,miRNA-Genes
hsa-mir-346,SRCIN1,miRNA-Genes
hsa-mir-346,ZCCHC24,miRNA-Genes
hsa-mir-346,STUM,miRNA-Genes
hsa-mir-429,BCL2,miRNA-Genes
hsa-mir-429,SERPINH1,miRNA-Genes
hsa-mir-429,CYP1A1,miRNA-Genes
hsa-mir-429,EZH2,miRNA-Genes
hsa-mir-429,FKBP5,miRNA-Genes
hsa-mir-429,IGF2,miRNA-Genes
hsa-mir-429,MYC,miRNA-Genes
hsa-mir-429,PMAIP1,miRNA-Genes
hsa-mir-429,SHOX2,miRNA-Genes
hsa-mir-429,FSCN1,miRNA-Genes
hsa-mir-429,SOX2,miRNA-Genes
hsa-mir-429,ZEB1,miRNA-Genes
hsa-mir-429,TPD52L1,miRNA-Genes
hsa-mir-429,TUBB2A,miRNA-Genes
hsa-mir-429,VEGFA,miRNA-Genes
hsa-mir-429,ONECUT2,miRNA-Genes
hsa-mir-429,RASSF2,miRNA-Genes
hsa-mir-429,ZEB2,miRNA-Genes
hsa-mir-429,BCL2L11,miRNA-Genes
hsa-mir-429,ZFPM2,miRNA-Genes
hsa-mir-429,DDIT4,miRNA-Genes
hsa-mir-429,CDCA4,miRNA-Genes
hsa-mir-429,PPM1H,miRNA-Genes
hsa-mir-429,NLGN4X,miRNA-Genes
hsa-mir-429,CACNG8,miRNA-Genes
hsa-mir-429,TAF1D,miRNA-Genes
hsa-mir-429,SHCBP1,miRNA-Genes
hsa-mir-429,CLPB,miRNA-Genes
hsa-mir-429,TCF7L1,miRNA-Genes
hsa-mir-429,TP53INP1,miRNA-Genes
hsa-mir-429,DENND5B,miRNA-Genes
hsa-mir-429,ANKRD33B,miRNA-Genes
hsa-mir-451a,BCL2,miRNA-Genes
hsa-mir-451a,IL6R,miRNA-Genes
hsa-mir-451a,MIF,miRNA-Genes
hsa-mir-451a,MMP9,miRNA-Genes
hsa-mir-451a,MYC,miRNA-Genes
hsa-mir-451a,ROR2,miRNA-Genes
hsa-mir-451a,OXTR,miRNA-Genes
hsa-mir-451a,ABCB1,miRNA-Genes
hsa-mir-451a,CUX2,miRNA-Genes
hsa-mir-451a,OSR1,miRNA-Genes
hsa-mir-484,ACADS,miRNA-Genes
hsa-mir-484,ACTA2,miRNA-Genes
hsa-mir-484,ADA,miRNA-Genes
hsa-mir-484,ADRA1A,miRNA-Genes
hsa-mir-484,AMPD2,miRNA-Genes
hsa-mir-484,BIRC5,miRNA-Genes
hsa-mir-484,APLP1,miRNA-Genes
hsa-mir-484,ATP1A2,miRNA-Genes
hsa-mir-484,BRCA1,miRNA-Genes
hsa-mir-484,CASP7,miRNA-Genes
hsa-mir-484,SERPINH1,miRNA-Genes
hsa-mir-484,CCNF,miRNA-Genes
hsa-mir-484,CD3E,miRNA-Genes
hsa-mir-484,CDC25A,miRNA-Genes
hsa-mir-484,CLDN7,miRNA-Genes
hsa-mir-484,CTPS1,miRNA-Genes
hsa-mir-484,ARID3A,miRNA-Genes
hsa-mir-484,TSC22D3,miRNA-Genes
hsa-mir-484,ECE1,miRNA-Genes
hsa-mir-484,EIF4A1,miRNA-Genes
hsa-mir-484,EZH2,miRNA-Genes
hsa-mir-484,FASN,miRNA-Genes
hsa-mir-484,FGB,miRNA-Genes
hsa-mir-484,FLNA,miRNA-Genes
hsa-mir-484,FLNB,miRNA-Genes
hsa-mir-484,GPR26,miRNA-Genes
hsa-mir-484,GRIA4,miRNA-Genes
hsa-mir-484,GTF2H4,miRNA-Genes
hsa-mir-484,HCLS1,miRNA-Genes
hsa-mir-484,HK2,miRNA-Genes
