Source,Target,Regulation
hsa-mir-375,JAG1,miRNA-Genes
hsa-mir-375,RUNX3,miRNA-Genes
hsa-mir-375,CENPF,miRNA-Genes
hsa-mir-375,CFL2,miRNA-Genes
hsa-mir-375,CTSC,miRNA-Genes
hsa-mir-375,CHGB,miRNA-Genes
hsa-mir-375,COL12A1,miRNA-Genes
hsa-mir-375,CRABP2,miRNA-Genes
hsa-mir-375,DNMT3B,miRNA-Genes
hsa-mir-375,DPYSL3,miRNA-Genes
hsa-mir-375,ELAVL4,miRNA-Genes
hsa-mir-375,FOLR1,miRNA-Genes
hsa-mir-375,IFI6,miRNA-Genes
hsa-mir-375,GATA6,miRNA-Genes
hsa-mir-375,IFIT1,miRNA-Genes
hsa-mir-375,IGFBP3,miRNA-Genes
hsa-mir-375,IL1RAP,miRNA-Genes
hsa-mir-375,NCAM1,miRNA-Genes
hsa-mir-375,OTX1,miRNA-Genes
hsa-mir-375,PAFAH2,miRNA-Genes
hsa-mir-375,RAB3B,miRNA-Genes
hsa-mir-375,SNAPC1,miRNA-Genes
hsa-mir-375,SOX2,miRNA-Genes
hsa-mir-375,TFRC,miRNA-Genes
hsa-mir-375,TGFB2,miRNA-Genes
hsa-mir-375,TNNI3,miRNA-Genes
hsa-mir-375,TNS1,miRNA-Genes
hsa-mir-375,FZD4,miRNA-Genes
hsa-mir-375,FZD8,miRNA-Genes
hsa-mir-375,DGKD,miRNA-Genes
hsa-mir-375,CLDN1,miRNA-Genes
hsa-mir-375,EXO1,miRNA-Genes
hsa-mir-375,XPR1,miRNA-Genes
hsa-mir-375,HOMER2,miRNA-Genes
hsa-mir-375,HERPUD1,miRNA-Genes
hsa-mir-375,SNPH,miRNA-Genes
hsa-mir-375,KIAA0513,miRNA-Genes
hsa-mir-375,RIMS3,miRNA-Genes
hsa-mir-375,ARHGAP11A,miRNA-Genes
hsa-mir-375,UNC13B,miRNA-Genes
hsa-mir-375,CELF2,miRNA-Genes
hsa-mir-375,CBX3,miRNA-Genes
hsa-mir-375,ELL2,miRNA-Genes
hsa-mir-375,DIP2C,miRNA-Genes
hsa-mir-375,SAMD4A,miRNA-Genes
