,Source,Target,Regulation
8069,hsa-mir-184,GAS1,miRNA-Genes
8070,hsa-mir-184,LIFR,miRNA-Genes
8071,hsa-mir-184,MYC,miRNA-Genes
8072,hsa-mir-184,PKM,miRNA-Genes
8073,hsa-mir-184,PRKCB,miRNA-Genes
8074,hsa-mir-184,PLPP3,miRNA-Genes
8075,hsa-mir-184,ZFPM2,miRNA-Genes
8076,hsa-mir-184,AGO2,miRNA-Genes
8077,hsa-mir-184,CBX8,miRNA-Genes
8078,hsa-mir-184,KLC2,miRNA-Genes
8079,hsa-mir-184,GPRIN1,miRNA-Genes
8080,hsa-mir-184,USH1G,miRNA-Genes
9998,hsa-mir-375,AXL,miRNA-Genes
9999,hsa-mir-375,CDKN2B,miRNA-Genes
10000,hsa-mir-375,CENPF,miRNA-Genes
10001,hsa-mir-375,CFL2,miRNA-Genes
10002,hsa-mir-375,CHGB,miRNA-Genes
10003,hsa-mir-375,DNMT3B,miRNA-Genes
10004,hsa-mir-375,DUSP6,miRNA-Genes
10005,hsa-mir-375,ELAVL2,miRNA-Genes
10006,hsa-mir-375,ACSL4,miRNA-Genes
10007,hsa-mir-375,FAH,miRNA-Genes
10008,hsa-mir-375,FOLR1,miRNA-Genes
10009,hsa-mir-375,HK2,miRNA-Genes
10010,hsa-mir-375,IFIT1,miRNA-Genes
10011,hsa-mir-375,IGFBP3,miRNA-Genes
10012,hsa-mir-375,IL1RAP,miRNA-Genes
10013,hsa-mir-375,KCNQ2,miRNA-Genes
10014,hsa-mir-375,MST1R,miRNA-Genes
10015,hsa-mir-375,MYBL1,miRNA-Genes
10016,hsa-mir-375,MYC,miRNA-Genes
10017,hsa-mir-375,MYCN,miRNA-Genes
10018,hsa-mir-375,NCAM1,miRNA-Genes
10019,hsa-mir-375,NPPB,miRNA-Genes
10020,hsa-mir-375,OTX1,miRNA-Genes
10021,hsa-mir-375,PLAG1,miRNA-Genes
10022,hsa-mir-375,KLK10,miRNA-Genes
10023,hsa-mir-375,RAB3B,miRNA-Genes
10024,hsa-mir-375,RTN2,miRNA-Genes
10025,hsa-mir-375,SOX2,miRNA-Genes
10026,hsa-mir-375,TNNI3,miRNA-Genes
10027,hsa-mir-375,DNAH11,miRNA-Genes
10028,hsa-mir-375,BSN,miRNA-Genes
10029,hsa-mir-375,SLC7A6,miRNA-Genes
10030,hsa-mir-375,EXO1,miRNA-Genes
10031,hsa-mir-375,CRLF1,miRNA-Genes
10032,hsa-mir-375,KLF4,miRNA-Genes
10033,hsa-mir-375,RAB3D,miRNA-Genes
10034,hsa-mir-375,SNPH,miRNA-Genes
10035,hsa-mir-375,RIMS3,miRNA-Genes
10036,hsa-mir-375,TSC22D2,miRNA-Genes
10037,hsa-mir-375,ARHGAP11A,miRNA-Genes
10038,hsa-mir-375,GPHN,miRNA-Genes
10039,hsa-mir-375,RIDA,miRNA-Genes
10040,hsa-mir-375,HOXB13,miRNA-Genes
10041,hsa-mir-375,PHLDA1,miRNA-Genes
10042,hsa-mir-375,SIPA1L3,miRNA-Genes
10043,hsa-mir-375,IQCE,miRNA-Genes
10044,hsa-mir-375,HEY1,miRNA-Genes
10045,hsa-mir-375,CKAP2,miRNA-Genes
10046,hsa-mir-375,ANKRD1,miRNA-Genes
10047,hsa-mir-375,C11orf54,miRNA-Genes
10048,hsa-mir-375,JPT1,miRNA-Genes
10049,hsa-mir-375,SCLY,miRNA-Genes
10050,hsa-mir-375,RASD1,miRNA-Genes
10051,hsa-mir-375,GDAP1,miRNA-Genes
10052,hsa-mir-375,NCAPG2,miRNA-Genes
10053,hsa-mir-375,TMEM74B,miRNA-Genes
10054,hsa-mir-375,MNS1,miRNA-Genes
10055,hsa-mir-375,ENAH,miRNA-Genes
10056,hsa-mir-375,BDH2,miRNA-Genes
10057,hsa-mir-375,IFT80,miRNA-Genes
10058,hsa-mir-375,CIP2A,miRNA-Genes
10059,hsa-mir-375,LPCAT1,miRNA-Genes
10060,hsa-mir-375,NETO2,miRNA-Genes
10061,hsa-mir-375,TMEM25,miRNA-Genes
10062,hsa-mir-375,ATOH8,miRNA-Genes
10063,hsa-mir-375,PAQR8,miRNA-Genes
10064,hsa-mir-375,DISP2,miRNA-Genes
10065,hsa-mir-375,COX20,miRNA-Genes
10066,hsa-mir-375,NCOA7,miRNA-Genes
10067,hsa-mir-375,GSC,miRNA-Genes
10068,hsa-mir-375,CMTM4,miRNA-Genes
10069,hsa-mir-375,SAMD11,miRNA-Genes
10070,hsa-mir-375,SGO2,miRNA-Genes
10071,hsa-mir-375,SGMS2,miRNA-Genes
10072,hsa-mir-375,TMEM145,miRNA-Genes
10073,hsa-mir-375,PRRT3,miRNA-Genes
10074,hsa-mir-375,DOK7,miRNA-Genes
10075,hsa-mir-375,IDNK,miRNA-Genes
10466,hsa-mir-326,AR,miRNA-Genes
10467,hsa-mir-326,BMP7,miRNA-Genes
10468,hsa-mir-326,C1R,miRNA-Genes
10469,hsa-mir-326,F9,miRNA-Genes
10470,hsa-mir-326,FASN,miRNA-Genes
10471,hsa-mir-326,FPR1,miRNA-Genes
10472,hsa-mir-326,GLI1,miRNA-Genes
10473,hsa-mir-326,IHH,miRNA-Genes
10474,hsa-mir-326,KLK2,miRNA-Genes
10475,hsa-mir-326,KPNA2,miRNA-Genes
10476,hsa-mir-326,MAZ,miRNA-Genes
10477,hsa-mir-326,PKM,miRNA-Genes
10478,hsa-mir-326,HMGA2,miRNA-Genes
10479,hsa-mir-326,CD274,miRNA-Genes
10480,hsa-mir-326,PEX5L,miRNA-Genes
10481,hsa-mir-326,FAM167B,miRNA-Genes
10482,hsa-mir-326,PAQR8,miRNA-Genes
10483,hsa-mir-326,USH1G,miRNA-Genes
10484,hsa-mir-326,SEZ6,miRNA-Genes
10485,hsa-mir-326,FBXL16,miRNA-Genes
10486,hsa-mir-326,ARL5B,miRNA-Genes
10487,hsa-mir-326,PLA2G4F,miRNA-Genes
10488,hsa-mir-326,RBM20,miRNA-Genes
10489,hsa-mir-326,STUM,miRNA-Genes
10490,hsa-mir-326,CASTOR2,miRNA-Genes
12143,hsa-mir-451a,FRZB,miRNA-Genes
12144,hsa-mir-451a,IL6,miRNA-Genes
12145,hsa-mir-451a,MMP9,miRNA-Genes
12146,hsa-mir-451a,MYC,miRNA-Genes
12147,hsa-mir-451a,ROR2,miRNA-Genes
12148,hsa-mir-451a,OXTR,miRNA-Genes
12149,hsa-mir-451a,OSR1,miRNA-Genes
13261,hsa-mir-498,ADK,miRNA-Genes
13262,hsa-mir-498,ALDOA,miRNA-Genes
13263,hsa-mir-498,ZFP36L1,miRNA-Genes
13264,hsa-mir-498,SERPING1,miRNA-Genes
13265,hsa-mir-498,COL4A1,miRNA-Genes
13266,hsa-mir-498,CYP2B6,miRNA-Genes
13267,hsa-mir-498,E2F2,miRNA-Genes
13268,hsa-mir-498,ETFDH,miRNA-Genes
13269,hsa-mir-498,EZH2,miRNA-Genes
13270,hsa-mir-498,FPR1,miRNA-Genes
13271,hsa-mir-498,CENPI,miRNA-Genes
13272,hsa-mir-498,HOXC8,miRNA-Genes
13273,hsa-mir-498,KCNJ15,miRNA-Genes
13274,hsa-mir-498,LOXL2,miRNA-Genes
13275,hsa-mir-498,MATN3,miRNA-Genes
13276,hsa-mir-498,PCSK1,miRNA-Genes
13277,hsa-mir-498,PDE4C,miRNA-Genes
13278,hsa-mir-498,RAD51,miRNA-Genes
13279,hsa-mir-498,TERT,miRNA-Genes
13280,hsa-mir-498,WT1,miRNA-Genes
13281,hsa-mir-498,SLC4A4,miRNA-Genes
13282,hsa-mir-498,F2RL3,miRNA-Genes
13283,hsa-mir-498,NRXN1,miRNA-Genes
13284,hsa-mir-498,GJC1,miRNA-Genes
13285,hsa-mir-498,GLYAT,miRNA-Genes
