Source,Target,Regulation
hsa-mir-424,CCNE1,miRNA-Genes
hsa-mir-424,CCND1,miRNA-Genes
hsa-let-7a-5p,TRG-AS1,miRNA-lncRNA
hsa-let-7b-5p,TRG-AS1,miRNA-lncRNA
hsa-let-7c-5p,TRG-AS1,miRNA-lncRNA
hsa-let-7d-5p,TRG-AS1,miRNA-lncRNA
hsa-let-7e-5p,TRG-AS1,miRNA-lncRNA
hsa-let-7f-5p,TRG-AS1,miRNA-lncRNA
hsa-let-7g-5p,TRG-AS1,miRNA-lncRNA
hsa-let-7i-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-103a-3p,NFIA-AS2,miRNA-lncRNA
hsa-mir-107,NFIA-AS2,miRNA-lncRNA
hsa-mir-10a-5p,LINC01091,miRNA-lncRNA
hsa-mir-10b-5p,LINC01091,miRNA-lncRNA
hsa-mir-1179,TRG-AS1,miRNA-lncRNA
hsa-mir-1180-5p,AFAP1-AS1,miRNA-lncRNA
hsa-mir-122-5p,MIR205HG,miRNA-lncRNA
hsa-mir-122-5p,XXYLT1-AS2,miRNA-lncRNA
hsa-mir-1276,CASC19,miRNA-lncRNA
hsa-mir-1277-3p,AFAP1-AS1,miRNA-lncRNA
hsa-mir-128-3p,LINC01091,miRNA-lncRNA
hsa-mir-1286,LINC01091,miRNA-lncRNA
hsa-mir-1297,TRG-AS1,miRNA-lncRNA
hsa-mir-130a-3p,LINC01091,miRNA-lncRNA
hsa-mir-130a-3p,CASC19,miRNA-lncRNA
hsa-mir-130a-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-130b-3p,LINC01091,miRNA-lncRNA
hsa-mir-130b-3p,CASC19,miRNA-lncRNA
hsa-mir-1323,TRG-AS1,miRNA-lncRNA
hsa-mir-138-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-140-5p,CASC19,miRNA-lncRNA
hsa-mir-142-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-143-3p,MIR205HG,miRNA-lncRNA
hsa-mir-143-3p,XXYLT1-AS2,miRNA-lncRNA
hsa-mir-145-5p,XXYLT1-AS2,miRNA-lncRNA
hsa-mir-145-5p,CASC9,miRNA-lncRNA
hsa-mir-146a-5p,CASC9,miRNA-lncRNA
hsa-mir-146b-5p,CASC9,miRNA-lncRNA
hsa-mir-147a,CASC19,miRNA-lncRNA
hsa-mir-148a-3p,CASC19,miRNA-lncRNA
hsa-mir-148b-3p,CASC19,miRNA-lncRNA
hsa-mir-152-3p,CASC19,miRNA-lncRNA
hsa-mir-155-5p,AFAP1-AS1,miRNA-lncRNA
hsa-mir-15a-5p,AFAP1-AS1,miRNA-lncRNA
hsa-mir-15a-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-15a-5p,CASC9,miRNA-lncRNA
hsa-mir-15b-5p,AFAP1-AS1,miRNA-lncRNA
hsa-mir-15b-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-15b-5p,CASC9,miRNA-lncRNA
hsa-mir-16-5p,AFAP1-AS1,miRNA-lncRNA
hsa-mir-16-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-16-5p,CASC9,miRNA-lncRNA
hsa-mir-181a-5p,CASC19,miRNA-lncRNA
hsa-mir-181b-5p,CASC19,miRNA-lncRNA
hsa-mir-181c-5p,CASC19,miRNA-lncRNA
hsa-mir-181d-5p,CASC19,miRNA-lncRNA
hsa-mir-182-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-1908-5p,HOTTIP,miRNA-lncRNA
hsa-mir-190a-5p,AFAP1-AS1,miRNA-lncRNA
hsa-mir-190b,AFAP1-AS1,miRNA-lncRNA
hsa-mir-195-5p,AFAP1-AS1,miRNA-lncRNA
hsa-mir-195-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-195-5p,CASC9,miRNA-lncRNA
hsa-mir-196a-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-196b-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-197-3p,XXYLT1-AS2,miRNA-lncRNA
hsa-mir-199a-5p,LINC01133,miRNA-lncRNA
hsa-mir-199b-5p,LINC01133,miRNA-lncRNA
hsa-mir-19a-3p,HOTTIP,miRNA-lncRNA
hsa-mir-19b-3p,HOTTIP,miRNA-lncRNA
hsa-mir-200b-3p,LINC00365,miRNA-lncRNA
hsa-mir-200c-3p,LINC00365,miRNA-lncRNA
hsa-mir-2114-3p,MIR205HG,miRNA-lncRNA
hsa-mir-2115-3p,CASC9,miRNA-lncRNA
hsa-mir-216a-3p,LINC01091,miRNA-lncRNA
hsa-mir-216a-5p,AFAP1-AS1,miRNA-lncRNA
hsa-mir-216a-5p,CASC19,miRNA-lncRNA
hsa-mir-216a-5p,CASC19,miRNA-lncRNA
hsa-mir-218-5p,CASC19,miRNA-lncRNA
hsa-mir-224-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-2278,AFAP1-AS1,miRNA-lncRNA
hsa-mir-23a-3p,TRG-AS1,miRNA-lncRNA
hsa-mir-23b-3p,TRG-AS1,miRNA-lncRNA
hsa-mir-23c,TRG-AS1,miRNA-lncRNA
hsa-mir-24-3p,CASC19,miRNA-lncRNA
hsa-mir-25-3p,LINC00365,miRNA-lncRNA
hsa-mir-26a-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-26b-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-27a-3p,CASC19,miRNA-lncRNA
hsa-mir-27b-3p,CASC19,miRNA-lncRNA
hsa-mir-28-3p,CASC9,miRNA-lncRNA
hsa-mir-296-3p,CASC19,miRNA-lncRNA
hsa-mir-299-3p,MIR205HG,miRNA-lncRNA
hsa-mir-301a-3p,LINC01091,miRNA-lncRNA
hsa-mir-301a-3p,CASC19,miRNA-lncRNA
hsa-mir-301b-3p,LINC01091,miRNA-lncRNA
hsa-mir-301b-3p,CASC19,miRNA-lncRNA
hsa-mir-3064-5p,CASC8,miRNA-lncRNA
hsa-mir-3064-5p,LINC00460,miRNA-lncRNA
hsa-mir-30a-5p,LINC01133,miRNA-lncRNA
hsa-mir-30b-5p,LINC01133,miRNA-lncRNA
hsa-mir-30c-5p,LINC01133,miRNA-lncRNA
hsa-mir-30d-5p,LINC01133,miRNA-lncRNA
hsa-mir-30e-5p,LINC01133,miRNA-lncRNA
hsa-mir-3121-3p,CASC19,miRNA-lncRNA
hsa-mir-3127-5p,CASC19,miRNA-lncRNA
hsa-mir-3145-3p,LINC00365,miRNA-lncRNA
hsa-mir-3150a-3p,CASC19,miRNA-lncRNA
hsa-mir-3150b-3p,LINC01133,miRNA-lncRNA
hsa-mir-3150b-3p,CASC19,miRNA-lncRNA
hsa-mir-3163,AFAP1-AS1,miRNA-lncRNA
hsa-mir-3164,CASC19,miRNA-lncRNA
hsa-mir-3184-5p,TRG-AS1,miRNA-lncRNA
hsa-mir-3184-5p,CASC9,miRNA-lncRNA
hsa-mir-3184-5p,CASC19,miRNA-lncRNA
hsa-mir-3194-3p,LINC00365,miRNA-lncRNA
hsa-mir-32-5p,LINC00365,miRNA-lncRNA
hsa-mir-320a,LINC00460,miRNA-lncRNA
hsa-mir-320b,LINC00460,miRNA-lncRNA
hsa-mir-323a-3p,LINC01091,miRNA-lncRNA
hsa-mir-330-3p,CASC19,miRNA-lncRNA
hsa-mir-338-3p,LINC00365,miRNA-lncRNA
hsa-mir-339-5p,LINC01091,miRNA-lncRNA
