,Source,Target,Regulation
4965,hsa-mir-107,ADD2,miRNA-Genes
4966,hsa-mir-107,ADORA3,miRNA-Genes
4967,hsa-mir-107,DST,miRNA-Genes
4968,hsa-mir-107,CAV1,miRNA-Genes
4969,hsa-mir-107,RUNX1T1,miRNA-Genes
4970,hsa-mir-107,CCNE1,miRNA-Genes
4971,hsa-mir-107,RCC1,miRNA-Genes
4972,hsa-mir-107,CHGA,miRNA-Genes
4973,hsa-mir-107,DAPK1,miRNA-Genes
4974,hsa-mir-107,DMPK,miRNA-Genes
4975,hsa-mir-107,EN2,miRNA-Genes
4976,hsa-mir-107,FGF2,miRNA-Genes
4977,hsa-mir-107,FOXC1,miRNA-Genes
4978,hsa-mir-107,FOXO1,miRNA-Genes
4979,hsa-mir-107,CD180,miRNA-Genes
4980,hsa-mir-107,MCM7,miRNA-Genes
4981,hsa-mir-107,MT1E,miRNA-Genes
4982,hsa-mir-107,OPRM1,miRNA-Genes
4983,hsa-mir-107,PCSK5,miRNA-Genes
4984,hsa-mir-107,ENPP2,miRNA-Genes
4985,hsa-mir-107,PER1,miRNA-Genes
4986,hsa-mir-107,SERPINB5,miRNA-Genes
4987,hsa-mir-107,NPY4R,miRNA-Genes
4988,hsa-mir-107,MRPL12,miRNA-Genes
4989,hsa-mir-107,SH3GL2,miRNA-Genes
4990,hsa-mir-107,SNCG,miRNA-Genes
4991,hsa-mir-107,TGFBR3,miRNA-Genes
4992,hsa-mir-107,VEGFA,miRNA-Genes
4993,hsa-mir-107,HMGA2,miRNA-Genes
4994,hsa-mir-107,AXIN2,miRNA-Genes
4995,hsa-mir-107,OGT,miRNA-Genes
4996,hsa-mir-107,KLF4,miRNA-Genes
4997,hsa-mir-107,GLP2R,miRNA-Genes
4998,hsa-mir-107,KIF23,miRNA-Genes
4999,hsa-mir-107,RIMS3,miRNA-Genes
5000,hsa-mir-107,DUSP14,miRNA-Genes
5001,hsa-mir-107,CPEB3,miRNA-Genes
5002,hsa-mir-107,PPP1R16B,miRNA-Genes
5003,hsa-mir-107,PHGDH,miRNA-Genes
5004,hsa-mir-107,HCFC2,miRNA-Genes
5005,hsa-mir-107,MRPL2,miRNA-Genes
5006,hsa-mir-107,FGFRL1,miRNA-Genes
5007,hsa-mir-107,CNNM2,miRNA-Genes
5008,hsa-mir-107,CDCA4,miRNA-Genes
5009,hsa-mir-107,LUC7L,miRNA-Genes
5010,hsa-mir-107,PAG1,miRNA-Genes
5011,hsa-mir-107,CYSLTR2,miRNA-Genes
5012,hsa-mir-107,SALL4,miRNA-Genes
5013,hsa-mir-107,SEMA6A,miRNA-Genes
5014,hsa-mir-107,CPEB1,miRNA-Genes
5015,hsa-mir-107,GSG1,miRNA-Genes
5016,hsa-mir-107,NACC2,miRNA-Genes
5017,hsa-mir-107,BTLA,miRNA-Genes
5018,hsa-mir-107,CREBRF,miRNA-Genes
5019,hsa-mir-107,GOLGA8B,miRNA-Genes
5020,hsa-mir-107,FAM229B,miRNA-Genes
7569,hsa-mir-217,CA6,miRNA-Genes
7570,hsa-mir-217,DACH1,miRNA-Genes
7571,hsa-mir-217,ELF5,miRNA-Genes
7572,hsa-mir-217,EZH2,miRNA-Genes
7573,hsa-mir-217,MXD1,miRNA-Genes
7574,hsa-mir-217,MAP1B,miRNA-Genes
7575,hsa-mir-217,NR4A2,miRNA-Genes
7576,hsa-mir-217,PLCG1,miRNA-Genes
7577,hsa-mir-217,TMEM63A,miRNA-Genes
7578,hsa-mir-217,OSBPL3,miRNA-Genes
7579,hsa-mir-217,FLVCR1,miRNA-Genes
7580,hsa-mir-217,NCAPG2,miRNA-Genes
7581,hsa-mir-217,BACH2,miRNA-Genes
7582,hsa-mir-217,TAF1D,miRNA-Genes
