Source,Target,Regulation
hsa-mir-137,SERPINA3,miRNA-Genes
hsa-mir-137,BCAT1,miRNA-Genes
hsa-mir-137,CDK6,miRNA-Genes
hsa-mir-137,CSE1L,miRNA-Genes
hsa-mir-137,EZH2,miRNA-Genes
hsa-mir-137,HOXC8,miRNA-Genes
hsa-mir-137,KIT,miRNA-Genes
hsa-mir-137,MCM4,miRNA-Genes
hsa-mir-137,MET,miRNA-Genes
hsa-mir-137,PAX9,miRNA-Genes
hsa-mir-137,RORA,miRNA-Genes
hsa-mir-137,CXCL12,miRNA-Genes
hsa-mir-137,SLC1A5,miRNA-Genes
hsa-mir-137,SLC6A3,miRNA-Genes
hsa-mir-137,AURKA,miRNA-Genes
hsa-mir-137,TEF,miRNA-Genes
hsa-mir-137,TLR3,miRNA-Genes
hsa-mir-137,DCLK1,miRNA-Genes
hsa-mir-137,KLF4,miRNA-Genes
hsa-mir-137,CIDEC,miRNA-Genes
hsa-mir-137,FMNL2,miRNA-Genes
hsa-mir-137,ZDHHC15,miRNA-Genes
hsa-mir-137,ADAMTS15,miRNA-Genes
hsa-mir-137,XKR7,miRNA-Genes
hsa-mir-133b,FOXL2,miRNA-Genes
hsa-mir-133b,SERPINH1,miRNA-Genes
hsa-mir-133b,HAPLN1,miRNA-Genes
hsa-mir-133b,FOXC1,miRNA-Genes
hsa-mir-133b,ITPKB,miRNA-Genes
hsa-mir-133b,KCNH2,miRNA-Genes
hsa-mir-133b,MC2R,miRNA-Genes
hsa-mir-133b,MET,miRNA-Genes
hsa-mir-133b,MMP9,miRNA-Genes
hsa-mir-133b,SGK1,miRNA-Genes
hsa-mir-133b,FSCN1,miRNA-Genes
hsa-mir-133b,ATP13A3,miRNA-Genes
hsa-mir-133b,ZMAT4,miRNA-Genes
hsa-mir-133b,MYPN,miRNA-Genes
hsa-mir-133b,TRIM71,miRNA-Genes
hsa-mir-133b,ZFP28,miRNA-Genes
hsa-mir-429,AVPR1A,miRNA-Genes
hsa-mir-429,SERPINH1,miRNA-Genes
hsa-mir-429,CYP1A1,miRNA-Genes
hsa-mir-429,DNMT1,miRNA-Genes
hsa-mir-429,EZH2,miRNA-Genes
hsa-mir-429,FKBP5,miRNA-Genes
hsa-mir-429,MKNK2,miRNA-Genes
hsa-mir-429,IGF2,miRNA-Genes
hsa-mir-429,IL4,miRNA-Genes
hsa-mir-429,JUN,miRNA-Genes
hsa-mir-429,LMNB1,miRNA-Genes
hsa-mir-429,MYB,miRNA-Genes
hsa-mir-429,SHOX2,miRNA-Genes
hsa-mir-429,FSCN1,miRNA-Genes
hsa-mir-429,ZEB1,miRNA-Genes
hsa-mir-429,TPD52L1,miRNA-Genes
hsa-mir-429,TUBB2A,miRNA-Genes
hsa-mir-429,ONECUT2,miRNA-Genes
hsa-mir-429,ZFPM2,miRNA-Genes
hsa-mir-429,PPM1H,miRNA-Genes
hsa-mir-429,CACNG8,miRNA-Genes
hsa-mir-429,SHCBP1,miRNA-Genes
hsa-mir-429,TCF7L1,miRNA-Genes
hsa-mir-451a,FRZB,miRNA-Genes
hsa-mir-451a,IL6,miRNA-Genes
hsa-mir-451a,IL6R,miRNA-Genes
hsa-mir-451a,MMP9,miRNA-Genes
hsa-mir-451a,ROR2,miRNA-Genes
hsa-mir-451a,OXTR,miRNA-Genes
hsa-mir-577,E2F3,miRNA-Genes
hsa-mir-577,EPHA7,miRNA-Genes
hsa-mir-577,ETFDH,miRNA-Genes
hsa-mir-577,FGF2,miRNA-Genes
hsa-mir-577,HSPB2,miRNA-Genes
hsa-mir-577,SLC5A6,miRNA-Genes
hsa-mir-577,AKAP12,miRNA-Genes
hsa-mir-577,IGF2BP1,miRNA-Genes
hsa-mir-577,ZWINT,miRNA-Genes
hsa-mir-577,ATRNL1,miRNA-Genes
hsa-mir-577,FGF21,miRNA-Genes
hsa-mir-577,BRIX1,miRNA-Genes
hsa-mir-577,CLIP4,miRNA-Genes
hsa-mir-577,ARHGAP39,miRNA-Genes
hsa-mir-577,LMNB2,miRNA-Genes
